Citation	wID	1830	1837	1840	1841	1879	1920
Moroni 3:3	14.01	⌴	⌴
Moroni 3:3	15	if	if
Moroni 3:3	15.01	⌴	⌴
Moroni 3:3	16	he	he
Moroni 3:3	16.01	⌴	⌴
Moroni 3:3	17	be	be
Moroni 3:3	17.01	⌴	⌴
Moroni 3:3	18	a	a
Moroni 3:3	18.01	⌴	⌴
Moroni 3:3	19	teacher	teacher
Moroni 3:3	19.01	,	,
Moroni 3:3	19.02	)	)
Moroni 3:3	19.03	⌴	⌴
Moroni 3:3	20	I	I
Moroni 3:3	20.01	⌴	⌴
Moroni 3:3	21	ordain	ordain
Moroni 3:3	21.01	⌴	⌴
Moroni 3:3	22	you	you
Moroni 3:3	22.01	⌴	⌴
Moroni 3:3	23	to	to
Moroni 3:3	23.01	⌴	⌴
Moroni 3:3	24	be	be
Moroni 3:3	24.01	⌴	⌴
Moroni 3:3	25	a	a
Moroni 3:3	25.01	⌴	⌴
Moroni 3:3	26	teacher	teacher
Moroni 3:3	26.01	,	,
Moroni 3:3	26.02	⌴	⌴
Moroni 3:3	27	to	to
Moroni 3:3	27.01	⌴	⌴
Moroni 3:3	28	preach	preach
Moroni 3:3	28.01	⌴	⌴
Moroni 3:3	29	repentance	repentance
Moroni 3:3	29.01	⌴	⌴
Moroni 3:3	30	and	and
Moroni 3:3	30.01	⌴	⌴
Moroni 3:3	31	remission	remission
Moroni 3:3	31.01	⌴	⌴
Moroni 3:3	32	of	of
Moroni 3:3	32.01	⌴	⌴
Moroni 3:3	33	sins	sins
Moroni 3:3	33.01	⌴	⌴
Moroni 3:3	34	through	through
Moroni 3:3	34.01	⌴	⌴
Moroni 3:3	35	Jesus	Jesus
Moroni 3:3	35.01	⌴	⌴
Moroni 3:3	36	Christ	Christ
Moroni 3:3	36.01	,	,
Moroni 3:3	36.02	⌴	⌴
Moroni 3:3	37	by	by
Moroni 3:3	37.01	⌴	⌴
Moroni 3:3	38	the	the
Moroni 3:3	38.01	⌴	⌴
Moroni 3:3	39	endurance	endurance
Moroni 3:3	39.01	⌴	⌴
Moroni 3:3	40	of	of
Moroni 3:3	40.01	⌴	⌴
Moroni 3:3	41	faith	faith
Moroni 3:3	41.01	⌴	⌴
Moroni 3:3	42	on	on
Moroni 3:3	42.01	⌴	⌴
Moroni 3:3	43	his	his
Moroni 3:3	43.01	⌴	⌴
Moroni 3:3	44	name	name
Moroni 3:3	44.01	⌴	⌴
Moroni 3:3	45	to	to
Moroni 3:3	45.01	⌴	⌴
Moroni 3:3	46	the	the
Moroni 3:3	46.01	⌴	⌴
Moroni 3:3	47	end	end
Moroni 3:3	47.01	.	.
Moroni 3:3	47.02	⌴	⌴
Moroni 3:3	48	Amen	Amen
Moroni 3:3	48.01	.	.
Moroni 3:3	48.02	⌴	⌴
Moroni 3:4	1	And	And
Moroni 3:4	1.01	⌴	⌴
Moroni 3:4	2	after	after
