Citation	wID	1830	1837	1840	1841	1879	1920
Helaman 1:10	9.01	;	;
Helaman 1:10	9.02	⌴	⌴
Helaman 1:10	10	but	but
Helaman 1:10	10.01	⌴	⌴
Helaman 1:10	11	behold	behold
Helaman 1:10	11.01	,	,
Helaman 1:10	11.02	⌴	⌴
Helaman 1:10	12	so	so
Helaman 1:10	12.01	⌴	⌴
Helaman 1:10	13	speedy	speedy
Helaman 1:10	13.01	⌴	⌴
Helaman 1:10	14	was	was
Helaman 1:10	14.01	⌴	⌴
Helaman 1:10	15	the	the
Helaman 1:10	15.01	⌴	⌴
Helaman 1:10	16	flight	flight
Helaman 1:10	16.01	⌴	⌴
Helaman 1:10	17	of	of
Helaman 1:10	17.01	⌴	⌴
Helaman 1:10	18	Kishkumen	Kishkumen
Helaman 1:10	18.01	,	,
Helaman 1:10	18.02	⌴	⌴
Helaman 1:10	19	that	that
Helaman 1:10	19.01	⌴	⌴
Helaman 1:10	20	no	no
Helaman 1:10	20.01	⌴	⌴
Helaman 1:10	21	man	man
Helaman 1:10	21.01	⌴	⌴
Helaman 1:10	22	could	could
Helaman 1:10	22.01	⌴	⌴
Helaman 1:10	23	overtake	overtake
Helaman 1:10	23.01	⌴	⌴
Helaman 1:10	24	him	him
Helaman 1:10	24.01	.	.
Helaman 1:11	1	And	And
Helaman 1:11	1.01	⌴	⌴
Helaman 1:11	2	he	he
Helaman 1:11	2.01	⌴	⌴
Helaman 1:11	3	went	went
Helaman 1:11	3.01	⌴	⌴
Helaman 1:11	4	unto	unto
Helaman 1:11	4.01	⌴	⌴
Helaman 1:11	5	those	those
Helaman 1:11	5.01	⌴	⌴
Helaman 1:11	6	that	that
Helaman 1:11	6.01	⌴	⌴
Helaman 1:11	7	sent	sent
Helaman 1:11	7.01	⌴	⌴
Helaman 1:11	8	him	him
Helaman 1:11	8.01	,	,
Helaman 1:11	8.02	⌴	⌴
Helaman 1:11	9	and	and
Helaman 1:11	9.01	⌴	⌴
Helaman 1:11	10	they	they
Helaman 1:11	10.01	⌴	⌴
Helaman 1:11	11	all	all
Helaman 1:11	11.01	⌴	⌴
Helaman 1:11	12	entered	entered
Helaman 1:11	12.01	⌴	⌴
Helaman 1:11	13	into	into
Helaman 1:11	13.01	⌴	⌴
Helaman 1:11	14	a	a
Helaman 1:11	14.01	⌴	⌴
Helaman 1:11	15	covenant	covenant
